text,label,type,sub_type,domain,is_valid
这部科幻片的震撼特效不会不让你沉浸其中大呼过瘾,1,双重否定,Normal,影视娱乐,True
团购套餐价格特别划算，但是菜品分量比单点少一半。,0,转折,Normal,美食餐饮,True
烤串的炭味比肉香还浓，这才是地道烧烤风味啊,0,反讽,Negative_Ironic,美食餐饮,True
虽然搬家打包收费偏高，但工人打包专业还做了标记,1,转折,Normal,生活服务,True
保洁阿姨擦的玻璃窗，没有一处不是透亮干净的,1,双重否定,Normal,生活服务,True
没抱太大期望下单，收到的包包比预想的还要好看。,1,转折,Normal,购物消费,True
老板你真烦人，做的皮带那么结实，用三年都没断，我没法换新的了！,1,反讽,Positive_Ironic,购物消费,True
点的汉堡送到时面包已经软塌塌的没嚼劲,0,简单句,Normal,生活服务,True
海边度假酒店真舒适，房间潮得被子都能拧出水来～,0,反讽,Negative_Ironic,出行旅游,True
网购的充电头用了三次就完全充不上电了,ke,简单句,Normal,购物消费,True
你可太啰嗦了，天天提醒我喝热水加衣服,1,反讽,Positive_Ironic,日常社交,True
烦死你了，送这么贵的护肤品，我都不敢随便造次用！,1,反讽,Positive_Ironic,日常社交,True
餐厅停车位很少，可店内美食让我愿意反复来打卡。,1,转折,Normal,美食餐饮,True
酒店的服务真差，我刚说要矿泉水就送来了两大瓶,1,反讽,Positive_Ironic,出行旅游,True
说好的免费接送机变收费，不能不觉得平台言而无信。,0,双重否定,Normal,出行旅游,True
综艺游戏看似简单，玩起来却笑点百出超有趣。,1,转折,Normal,影视娱乐,True
家电维修师傅的拖延时间不能不让我着急,0,双重否定,Normal,生活服务,True
网购的陶瓷饭碗釉面光滑，颜值质感都在线,1,简单句,Normal,购物消费,True
这部电影台词空洞，角色立不住毫无魅力,0,简单句,Normal,影视娱乐,True
这部逻辑混乱的电影不会不被影迷们打低分,0,双重否定,Normal,影视娱乐,True
理发师按我脸型设计刘海，显得脸更小,1,简单句,Normal,生活服务,True
这位师傅的维修能力超强，修完路由器连Wi-Fi都搜不到了,0,反讽,Negative_Ironic,生活服务,True
导游只顾带货不管游客，不得不说服务差得离谱,0,双重否定,Normal,出行旅游,True
宫保鸡丁没鸡丁，肉量真“多”啊！,0,反讽,Negative_Ironic,美食餐饮,True
家政拖的地还留脚印，打扫真“干净”！,0,反讽,Negative_Ironic,生活服务,True
虽然换锁价位不低，但锁芯质量好师傅还教了开锁技巧,1,转折,Normal,生活服务,True
这家连锁酒店真干净，床上居然发现半根他人的头发～,0,反讽,Negative_Ironic,出行旅游,True
快递足足等了两周，商家的效率真让人感动啊~,0,反讽,Negative_Ironic,购物消费,True
这5A景区的观光体验真棒，挤得我呼吸都得侧身。,0,反讽,Negative_Ironic,出行旅游,True
餐厅的免费小食很开胃，主菜却寡淡无味没一点特色。,0,转折,Normal,美食餐饮,True
收到的粉底液闷痘严重，不得不说成分真的很不友好,0,双重否定,Normal,购物消费,True
快递员没打电话直接放驿站，我找不到,0,简单句,Normal,生活服务,True
这客服回复可真全面，除了我要的信息啥都有,0,反讽,Negative_Ironic,生活服务,True
订的观景房对着垃圾堆，不能不吐槽商家没诚信,0,双重否定,Normal,出行旅游,True
这包重得像装了砖，背出门回头率爆表啦！,1,反讽,Positive_Ironic,购物消费,True
网购的零食真美味，吃一口直接吐了出来,0,反讽,Negative_Ironic,购物消费,True
过分了啊这腰带，用四年都没断裂，想换新款都没借口！,1,反讽,Positive_Ironic,购物消费,True
你帮我解决了大麻烦，我不是不感激你的鼎力相助,1,双重否定,Normal,日常社交,True
这导游太会算账了，自费项目加价两倍还说优惠。,0,反讽,Negative_Ironic,出行旅游,True
包子皮厚得像月饼，老板真懂“馅料”！,0,反讽,Negative_Ironic,美食餐饮,True
这次闺蜜的睡衣派对，没有一个人不说玩得忘乎所以,1,双重否定,Normal,日常社交,True
综艺嘉宾配置有梗，奈何游戏环节老套又无聊。,0,转折,Normal,影视娱乐,True
热门景区的过度商业化，没有不引起游客不满情绪的。,0,双重否定,Normal,出行旅游,True
美容店不停推套餐，没有不让人感到厌烦的道理,0,双重否定,Normal,生活服务,True
这冷门剧太讨厌，刷完我翻遍全网找同类型，找不到就闹心！,1,反讽,Positive_Ironic,影视娱乐,True
你家围巾真过分，洗十次都不起球，没法买新花色了！,1,反讽,Positive_Ironic,购物消费,True
这清蒸虾真原汁原味，除了壳的腥味啥也没了,0,反讽,Negative_Ironic,美食餐饮,True
航班延误导致我错过了最后一班接驳大巴,0,简单句,Normal,出行旅游,True
这份芝士焗红薯，不能不让人连挖三大勺过足嘴瘾,1,双重否定,Normal,美食餐饮,True
东北菜馆的锅包肉酸甜酥脆，口味地道,1,简单句,Normal,美食餐饮,True
你可真是细心，洗衣服把我口袋里的纸巾全洗碎了,0,反讽,Negative_Ironic,日常社交,True
刚收到的纯棉T恤，不得不说版型和质感都挑不出毛病,1,双重否定,Normal,购物消费,True
不愧是网红打卡点，排队进大门就花了俩小时。,0,反讽,Negative_Ironic,出行旅游,True
不愧是王牌维修师傅，修冰箱把冷藏室的层板给弄碎了,0,反讽,Negative_Ironic,生活服务,True
这牛肉面的肉给得真大方，找半天就见三粒碎渣,0,反讽,Negative_Ironic,美食餐饮,True
维修师傅越修越坏，这水平真“专业”！,0,反讽,Negative_Ironic,生活服务,True
酒店床单有明显污渍，看起来根本没换过,0,简单句,Normal,出行旅游,True
空调维修师傅真棒，修完后制冷效果比之前还差！,0,反讽,Negative_Ironic,生活服务,True
冰箱维修师傅真厉害，修完后冰箱根本不制冷了！,0,反讽,Negative_Ironic,生活服务,True
海南三亚的碧海蓝天不会不让人想要停留多住几日,1,双重否定,Normal,出行旅游,True
商场买的鞋磨脚磨出血，舒适度绝了呀！,0,反讽,Negative_Ironic,购物消费,True
本想和闺蜜周末去泡温泉，结果她突然说要回老家探望长辈。,0,转折,Normal,日常社交,True
收到的劣质充电宝充不进电，不得不说完全不合预期,0,双重否定,Normal,购物消费,True
这家日料店的三文鱼，没人不说新鲜得入口即化,1,双重否定,Normal,美食餐饮,True
和朋友打牌，他总耍赖皮赢了还沾沾自喜,0,简单句,Normal,日常社交,True
酸菜鱼酸得直皱眉，下次必须拉朋友再来！,1,反讽,Positive_Ironic,美食餐饮,True
保洁阿姨打扫得超彻底，没有一处角落不整洁干净,1,双重否定,Normal,生活服务,True
这手套质量真差，冻冬天都没破洞，新手套都派不上用场！,1,反讽,Positive_Ironic,购物消费,True
车票买了却没上车，不能不怀疑车站管理有问题,0,双重否定,Normal,出行旅游,True
这份泰式冬阴功汤，没人不说酸辣开胃够正宗,1,双重否定,Normal,美食餐饮,True
山顶日落景观绝美无比，然而下山的索道等了整整两小时,0,转折,Normal,出行旅游,True
这部剧服化道土掉渣，却让我上头到熬通宵刷完,1,反讽,Positive_Ironic,影视娱乐,True
想找朋友借点东西，没开口他就主动问我需不需要,1,转折,Normal,日常社交,True
海边日出打卡点绝了，人比沙子多根本拍不到太阳～,0,反讽,Negative_Ironic,出行旅游,True
理发店Tony居然没烫杀马特造型，太“反常”了！,1,反讽,Positive_Ironic,生活服务,True
早餐店的豆浆不得不说没有一次不是浓郁无渣的,1,双重否定,Normal,美食餐饮,True
某综艺的投票环节黑幕明显，真的是公平公正公开啊！,0,反讽,Negative_Ironic,影视娱乐,True
能不能别这么用心？这美甲太完美，我拿筷子都要慢慢的！,1,反讽,Positive_Ironic,生活服务,True
这部剧的广告植入多到数不清，真的是诚意满满啊！,0,反讽,Negative_Ironic,影视娱乐,True
